objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
7365,1950,CA,CDF,LNU,LITTLE STONEY FIRE,0,1950-09-03,,14,,,17367.359375,,1,73,55272.0259889655,70283207.5262797
8435,1950,CA,CDF,MVU,GUEJITO,0,1950-09-03,,1,,,8024.748046875,,1,607,61119.852500339,32475003.1885385
8571,1950,CA,CDF,TGU,STINKING CREEK,0,1950-09-03,,14,,,1741.03381347656,,1,155,14637.1102726035,7045713.92361681
8579,1950,CA,CDF,LNU,SEIGLER CANYON,0,1950-09-03,,14,,,7242.5224609375,,1,70,27414.9814713003,29309448.5624324
8583,1950,CA,CDF,MEU,IRENE PEAK,0,1950-09-03,,14,,,8955.978515625,,1,225,30784.6123482494,36243560.7496813
15823,1950,CA,CDF,TCU,BEAR SPRINGS,,1950-09-03,,14,20090305,0,1562.22155761719,8,1,7,11591.7697101541,6322086.24605536
18252,1950,CA,NPS,KNP,LIGHTN CR,0,1950-09-03,1950-09-04,1,,31,32.4766044616699,8,1,26,1920.34577716119,131428.161398617
5265,1950,CA,CDF,MEU,ROADSIDE #31,0,1950-09-04,,14,,,146.883270263672,,1,231,4462.46438942404,594415.507271007
7355,1950,CA,CDF,MEU,FISH HATCHERY CREEK,0,1950-09-04,,14,,,584.736267089844,,1,229,7587.06596740268,2366343.83459107
7362,1950,CA,CDF,TCU,JACKSONVILLE,0,1950-09-04,,14,,,5466.396484375,,1,86,25842.2033314096,22121720.9798518
15824,1950,CA,CDF,TCU,CASA MADERA,,1950-09-04,,14,20090305,0,684.904907226562,8,1,85,8496.01187693579,2771711.71474284
6404,1950,CA,USF,KNF,MURDERERS BAR,0,1950-09-05,,3,,,10.311224937439,,1,85,811.746719297958,41728.0469034958
7352,1950,CA,CDF,LNU,EDNA JONE,0,1950-09-05,,14,,,1123.83703613281,,1,71,13562.2773149675,4548006.91135926
8562,1950,CA,CDF,SHU,BEAR CREEK,0,1950-09-05,,14,,,378.184936523438,,1,288,5755.48407672185,1530460.16789898
2515,1950,CA,CDF,AEU,CAVITT,0,1950-09-13,,14,,,339.285614013672,,1,7,5151.44009332097,1373040.14328119
8177,1950,CA,CDF,MEU,ESCAPE,0,1950-09-20,,14,,,114.415115356445,,1,251,2921.07896481467,463021.557141993
7354,1950,CA,CDF,MEU,FASHAUER BROS.,0,1950-09-21,,14,,,648.130737304688,,1,253,7822.04767723622,2622892.06822175
3590,1950,CA,CDF,HUU,T.K. CLARK,0,1950-09-22,,14,,,1609.96081542969,,1,0,11208.5430575435,6515280.3558768
8553,1950,CA,CDF,BEU,QUAIL CREEK,0,1950-09-23,,14,,,1247.55688476562,,1,93,10129.9248426435,5048683.68719938
14391,1950,CA,CCO,SBC,COBB RANCH,0,1950-09-25,,14,,,397.788055419922,,1,229,5356.83676066855,1609791.11892141
2507,1950,CA,CDF,HUU,BILL WILLIAMS,0,1950-09-30,,14,,,537.279113769531,,1,160,7265.66731986084,2174291.31962365
7223,1950,CA,CDF,MVU,QUARRY,0,1950-10-03,,14,,,280.606597900391,,1,683,3834.31969505968,1135574.56626798
7220,1950,CA,CDF,MVU,DE LUZ #2,0,1950-10-04,,14,,,274.502655029297,,1,688,5141.60800916343,1110872.86678823
